1. What is the main purpose of project scope management?,Defining objectives;Managing costs;Tracking schedule;Ensuring all work required is included,Ensuring all work required is included
2. What is NOT included in a project scope statement?,Budget constraints;Resource allocations;Project deliverables;Risk management,Budget constraints
3. What does a Work Breakdown Structure (WBS) represent?,Project budget;Project risks;Project deliverables;Project schedule,Project deliverables
4. Which process involves defining and documenting stakeholder needs?,Planning scope;Collecting requirements;Defining scope;Creating WBS,Collecting requirements
5. What is the main tool used for creating a WBS?,Benchmarking;Facilitated workshops;Decomposition;Mind mapping,Decomposition
6. Which process ensures project deliverables meet scope?,Planning scope;Validating scope;Defining scope;Controlling scope,Validating scope
7. What is scope creep?,Uncontrolled changes;Increasing budget;Expanding schedule;Decreasing resources,Uncontrolled changes
8. What document outlines how scope will be managed?,Project charter;Scope management plan;Budget plan;Schedule plan,Scope management plan
9. What is the first step in project scope management?,Collecting requirements;Planning scope management;Defining scope;Creating WBS,Planning scope management
10. Which technique is used to compare project practices?,Observation;Mind mapping;Facilitated workshops;Benchmarking,Benchmarking
11. What is the purpose of a Gantt chart?,Defining scope;Tracking schedule;Managing budget;Evaluating risks,Tracking schedule
12. What does CPM stand for?,Cost Performance Management;Critical Path Method;Critical Path Management;Cost Performance Method,Critical Path Method
13. What is a milestone?,Project risk;Significant event;Project constraint;Project deliverable,Significant event
14. What does PERT stand for?,Project Execution and Review;Program Evaluation and Review;Project Evaluation and Review;Program Execution and Review,Program Evaluation and Review
15. Which diagram shows the sequence of activities?,Mind map;Gantt chart;Flowchart;Network diagram,Network diagram
16. What is the main purpose of schedule management?,Defining scope;Ensuring timely completion;Managing costs;Tracking risks,Ensuring timely completion
17. What does "float" refer to in scheduling?,Resource allocation;Schedule flexibility;Budget variance;Project risks,Schedule flexibility
18. What is the critical path?,Longest path;Shortest path;Most expensive path;Least expensive path,Longest path
19. What is a three-point estimate used for?,Estimating costs;Estimating durations;Estimating resources;Estimating risks,Estimating durations
20. What is the main output of schedule control?,Project charter;Updated schedule;Scope statement;Budget,Updated schedule
21. What is life cycle costing?,Evaluating schedule;Estimating total costs;Managing risks;Managing quality,Estimating total costs
22. What does EVM stand for?,Earned Value Management;Estimated Value Management;Evaluated Value Management;Effective Value Management,Earned Value Management
23. What does AC stand for in EVM?,Actual Cost;Allocated Cost;Approved Cost;Accumulated Cost,Actual Cost
24. What is a cost baseline?,Approved budget;Estimated costs;Project schedule;Project risks,Approved budget
25. Which process aggregates estimated costs?,Estimating costs;Determining budget;Controlling costs;Planning cost management,Determining budget
26. What is the formula for CPI?,EV/AC;AC/EV;EV/PV;PV/EV,EV/AC
27. What does variance analysis involve?,Evaluating scope;Comparing costs;Assessing risks;Defining objectives,Comparing costs
28. What is the purpose of cost control?,Tracking schedule;Ensuring costs are within budget;Updating baseline;Managing scope,Ensuring costs are within budget
29. What is a direct cost?,Fixed cost;Overhead expense;Variable cost;Attributable cost,Attributable cost
30. What is planned value (PV)?,Realized cost;Authorized budget;Value of work;Total budget,Authorized budget
31. What is the main goal of quality management?,Ensuring costs minimized;Meeting customer needs;Defining scope;Following schedule,Meeting customer needs
32. What is NOT a quality control method?,Six Sigma;Control charts;Pareto chart;Project charter,Project charter
33. What does a control chart determine?,Scope status;Schedule status;Quality control status;Budget status,Quality control status
34. What is a Pareto chart used for?,Tracking schedule;Identifying risks;Managing costs;Identifying significant factors,Identifying significant factors
35. What is another name for a cause-and-effect diagram?,Flowchart;Fishbone diagram;Control chart;Pareto chart,Fishbone diagram
36. What is the first step in quality management planning?,Managing metrics;Conducting audits;Developing plan;Identifying standards,Identifying standards
37. What is the purpose of quality assurance?,Tracking schedule;Preventing defects;Managing costs;Defining scope,Preventing defects
38. What is the main output of quality control?,Scope statement;Acceptance decisions;Quality metrics;Budget,Acceptance decisions
39. What is statistical sampling used for?,Estimating costs;Evaluating schedule;Assessing subset quality;Managing scope,Assessing subset quality
40. What is the role of a quality audit?,Reviewing scope;Evaluating quality activities;Managing costs;Tracking schedule,Evaluating quality activities
41. What is the main purpose of resource management?,Tracking costs;Utilizing resources effectively;Defining scope;Ensuring timely completion,Utilizing resources effectively
42. What does RACI stand for?,Responsible&cAccountable&cConsulted&cInformed;Resource&cAllocation&cCoordination&cInformation;Responsible&cAccountable&cCoordination&cInformation;Resource&cAllocation&cConsulted&cInformed,Responsible&cAccountable&cConsulted&cInformed
43. What is resource leveling?,Increasing costs;Reducing scope;Balancing availability;Tracking schedule,Balancing availability
44. Which process improves team competencies?,Planning resources;Developing team;Acquiring resources;Controlling resources,Developing team
45. What is the first step in resource management?,Planning resources;Acquiring resources;Managing team;Estimating resources,Planning resources
46. What is a resource histogram?,Tracking costs;Defining scope;Managing schedule;Visualizing allocation,Visualizing allocation
47. What does "conflict management" refer to?,Tracking schedule;Managing costs;Resolving issues;Defining scope,Resolving issues
48. What is a common technique for team building?,Scope management;Cost control;Social activities;Schedule tracking,Social activities
49. What is emotional intelligence?,Managing scope;Understanding emotions;Tracking costs;Scheduling activities,Understanding emotions
50. What is NOT an output of controlling resources?,Project scope statement;Quality metrics;Updated resource plan;Project budget,Project scope statement