Which planet is known as the Red Planet?, Mercury;Venus;Earth;Mars, Mars
What is the hardest natural substance on Earth?, Diamond;Steel;Wood;Ice, Diamond
Who wrote the play "Romeo & Juliet"?, William Shakespeare;Charles Dickens;Mark Twain;Jane Austen, William Shakespeare
What is the largest mammal in the world?, Elephant;Blue Whale;Giraffe;Rhino, Blue Whale
What is the capital of Japan?, Beijing;Seoul;Tokyo;Bangkok, Tokyo
What gas do plants absorb from the atmosphere for photosynthesis?, Oxygen;Carbon Dioxide;Nitrogen;Hydrogen, Carbon Dioxide
What is the chemical symbol for gold?, Au;Ag;Fe;Cu, Au
Which organ is responsible for pumping blood throughout the body?, Liver;Kidney;Heart;Lung, Heart
What is the main ingredient in sushi?, Rice;Bread;Pasta;Potato, Rice
What is the tallest mountain in the world?, Mount Everest;K2;Kangchenjunga;Lhotse, Mount Everest
Who painted the Mona Lisa?, Leonardo da Vinci;Vincent van Gogh;Pablo Picasso;Claude Monet, Leonardo da Vinci
What is the largest ocean on Earth?, Atlantic;Indian;Arctic;Pacific, Pacific
What is the smallest unit of life?, Atom;Molecule;Cell;Organ, Cell
What is the most widely spoken language in the world?, English;Mandarin;Spanish;Hindi, Mandarin
What is the main component of the sun?, Hydrogen;Oxygen;Carbon;Helium, Hydrogen
Which animal is known as the ship of the desert?, Camel;Horse;Elephant;Llama, Camel
What is the boiling point of water at sea level?, 100°C;90°C;80°C;110°C, 100°C
Who is the author of "Harry Potter"?, J.K. Rowling;Ernest Hemingway;Agatha Christie;Stephen King, J.K. Rowling
What is the currency of the European Union?, Dollar;Yen;Pound;Euro, Euro
What is the largest planet in our solar system?, Jupiter;Saturn;Neptune;Uranus, Jupiter
What is the name of the galaxy we live in?, Milky Way;Andromeda;Sombrero;Whirlpool, Milky Way
What is the term for a baby kangaroo?, Joey;Calf;Pup;Chick, Joey
What is the primary source of energy for the Earth?, Sun;Wind;Coal;Nuclear, Sun
What is the name of the longest river in the world?, Nile;Amazon;Yangtze;Mississippi, Amazon
What is the name of the first artificial Earth satellite?, Sputnik;Voyager;Hubble;Apollo, Sputnik
What is the process by which plants make their own food?, Photosynthesis;Respiration;Digestion;Transpiration, Photosynthesis
What is the name of the phobia that involves an irrational fear of spiders?, Arachnophobia;Acrophobia;Agoraphobia;Claustrophobia, Arachnophobia
What is the largest type of deer in the world?, Whitetailed Deer;Moose;Reindeer;Elk, Moose
What is the most abundant gas in the Earth's atmosphere?, Nitrogen;Oxygen;Carbon Dioxide;Argon, Nitrogen
What is the name of the instrument used to measure atmospheric pressure?, Barometer;Thermometer;Hygrometer;Anemometer, Barometer